experiment_id,gen_id,gen_fit_max,gen_gain_max,overall_fit_max,overall_gain_max,fit_mean,fit_var,fit_std,gain_mean,gain_var,gain_std
4,26,70.999372,-26.000000,72.482050,8.000000,48.877323,336.164993,18.334803,-78.320000,1929.497600,43.926047
4,27,71.087581,-24.000000,72.482050,8.000000,45.967036,464.389618,21.549701,-85.360000,2573.350400,50.728201
4,28,71.087581,-24.000000,72.482050,8.000000,51.347417,288.194181,16.976283,-73.000000,1566.920000,39.584340
4,29,72.245103,4.000000,72.482050,8.000000,48.914763,326.185227,18.060599,-76.360000,1781.150400,42.203678
4,30,72.245103,4.000000,72.482050,8.000000,45.467055,493.195326,22.208001,-85.000000,2759.800000,52.533799
5,1,30.463488,-120.000000,30.463488,-120.000000,4.515259,41.856414,6.469653,-189.800000,397.960000,19.948935
5,2,43.467866,-90.000000,43.467866,-90.000000,8.504077,69.116580,8.313638,-177.000000,647.000000,25.436195
5,3,56.967866,-60.000000,56.967866,-60.000000,12.422170,111.876654,10.577176,-166.100000,899.790000,29.996500
5,4,61.740119,-50.000000,61.740119,-50.000000,23.186344,152.154414,12.335089,-137.400000,905.240000,30.087207
5,5,56.984164,-60.000000,61.740119,-50.000000,21.030360,238.505536,15.443624,-141.500000,1276.750000,35.731639
5,6,66.043774,-40.000000,66.043774,-40.000000,30.041203,319.603441,17.877456,-120.600000,1607.640000,40.095386
5,7,66.039806,-40.000000,66.043774,-40.000000,42.097550,366.255859,19.137812,-94.060000,1952.196400,44.183667
5,8,76.013025,-8.000000,76.013025,-8.000000,47.892630,320.519325,17.903054,-80.780000,1775.911600,42.141566
5,9,72.471188,4.000000,76.013025,-8.000000,49.524534,355.049011,18.842744,-74.780000,2058.551600,45.371264
5,10,72.471188,4.000000,76.013025,-8.000000,43.139525,499.877476,22.357940,-91.580000,2910.583600,53.949825
5,11,72.471188,4.000000,76.013025,-8.000000,45.517412,311.396368,17.646426,-86.060000,1714.836400,41.410583
5,12,65.972026,-40.000000,76.013025,-8.000000,42.795160,469.762000,21.673994,-93.700000,2709.310000,52.051033
5,13,65.972026,-40.000000,76.013025,-8.000000,50.444037,179.661220,13.403776,-74.800000,906.960000,30.115777
5,14,71.073200,-24.000000,76.013025,-8.000000,46.235292,350.921404,18.732896,-85.160000,2022.814400,44.975709
5,15,61.744078,-50.000000,76.013025,-8.000000,47.832679,293.678552,17.137052,-81.500000,1672.750000,40.899266
5,16,72.885467,12.000000,76.013025,-8.000000,52.298661,186.710277,13.664197,-69.860000,1041.460400,32.271666
5,17,72.885467,12.000000,76.013025,-8.000000,53.208180,200.866388,14.172734,-68.440000,1131.086400,33.631628
5,18,72.885467,12.000000,76.013025,-8.000000,45.731186,417.335892,20.428801,-85.920000,2437.273600,49.368751
5,19,70.796129,-30.000000,76.013025,-8.000000,53.590774,99.038001,9.951784,-67.360000,497.590400,22.306734
5,20,66.007970,-40.000000,76.013025,-8.000000,50.606649,207.495561,14.404706,-74.400000,1046.640000,32.351816
5,21,72.995619,16.000000,76.013025,-8.000000,43.096258,538.618695,23.208160,-91.720000,3299.281600,57.439373
5,22,66.007970,-40.000000,76.013025,-8.000000,50.057239,245.543355,15.669823,-75.800000,1298.360000,36.032763
5,23,66.007970,-40.000000,76.013025,-8.000000,50.552219,279.099239,16.706263,-75.100000,1542.990000,39.280911
5,24,65.967866,-40.000000,76.013025,-8.000000,45.571451,454.187796,21.311682,-86.500000,2466.750000,49.666387
5,25,65.967866,-40.000000,76.013025,-8.000000,47.837437,237.486088,15.410584,-80.800000,1229.360000,35.062230
5,26,71.803300,-4.000000,76.013025,-8.000000,52.095207,274.912759,16.580493,-69.600000,1670.960000,40.877378
5,27,71.803300,-4.000000,76.013025,-8.000000,46.785012,493.001196,22.203630,-82.120000,3205.905600,56.620717
5,28,73.455063,28.000000,76.013025,-8.000000,42.812376,371.823866,19.282735,-91.180000,2224.087600,47.160233
5,29,70.509042,-30.000000,76.013025,-8.000000,42.930513,498.475743,22.326570,-92.800000,2740.160000,52.346538
5,30,70.509042,-30.000000,76.013025,-8.000000,51.909937,250.243479,15.819086,-72.200000,1409.160000,37.538780
6,1,56.967866,-60.000000,56.967866,-60.000000,4.964604,77.491482,8.802925,-188.100000,603.390000,24.563998
6,2,56.967866,-60.000000,56.967866,-60.000000,18.035824,380.902470,19.516723,-151.000000,2221.000000,47.127487
6,3,75.393448,60.000000,75.393448,60.000000,21.897320,484.480996,22.010929,-142.600000,3507.240000,59.221955
6,4,75.393448,60.000000,75.393448,60.000000,42.519141,428.015619,20.688538,-92.900000,2558.590000,50.582507
6,5,75.393448,60.000000,75.393448,60.000000,48.639469,287.378369,16.952238,-78.400000,1713.440000,41.393719
6,6,75.393448,60.000000,75.393448,60.000000,37.046896,642.607663,25.349707,-106.400000,3861.040000,62.137267
6,7,75.393448,60.000000,75.393448,60.000000,47.522273,368.524939,19.197003,-79.600000,2501.840000,50.018397
6,8,75.072623,-20.000000,75.393448,60.000000,48.076472,324.554194,18.015388,-80.500000,1742.750000,41.746257
6,9,65.972832,-40.000000,75.393448,60.000000,45.445342,386.596641,19.662061,-87.500000,2280.750000,47.757198
6,10,61.492151,-50.000000,75.393448,60.000000,44.784064,463.622048,21.531884,-88.700000,2603.310000,51.022642
6,11,64.034834,12.000000,75.393448,60.000000,44.453092,439.240765,20.958072,-87.840000,2746.454400,52.406626
6,12,64.034834,12.000000,75.393448,60.000000,47.989247,318.213970,17.838553,-79.760000,1915.222400,43.763254
6,13,64.034834,12.000000,75.393448,60.000000,48.701157,328.336295,18.120052,-77.280000,1829.241600,42.769634
6,14,70.455197,-30.000000,75.393448,60.000000,49.130202,306.613267,17.510376,-77.900000,1610.590000,40.132157
6,15,70.455197,-30.000000,75.393448,60.000000,49.404201,314.970681,17.747413,-77.600000,1724.240000,41.523969
6,16,66.018089,-40.000000,75.393448,60.000000,45.157650,485.068745,22.024276,-87.300000,2597.710000,50.967735
6,17,71.739197,-6.000000,75.393448,60.000000,54.917881,109.107286,10.445443,-64.220000,587.511600,24.238639
6,18,66.018089,-40.000000,75.393448,60.000000,49.039548,355.438095,18.853066,-78.720000,2119.881600,46.042172
6,19,65.991676,-40.000000,75.393448,60.000000,54.624082,147.626226,12.150153,-65.400000,742.840000,27.255091
6,20,66.022041,-40.000000,75.393448,60.000000,54.740865,91.734658,9.577821,-64.800000,440.960000,20.999048
